GDPC1,CCSA,UMCSENT,UNRATE,CPIAUCSL
1.3,-2.9,93.0,-2.4,1.1
1.0,4.3,95.9,-2.5,1.1
0.8,0.1,90.9,0.6,1.6
0.7,4.4,92.5,0.0,0.8
0.2,3.9,91.8,2.5,1.0
1.1,3.3,91.3,-1.2,1.7
0.4,1.8,90.9,0.6,1.0
0.1,5.5,79.1,6.9,1.7
-0.9,13.3,65.1,7.6,1.7
-0.5,14.0,75.0,7.6,0.7
0.8,5.9,80.7,3.5,0.6
0.5,-4.8,82.6,0.5,0.8
0.3,0.7,71.9,3.4,0.8
1.2,0.1,70.8,3.8,0.7
1.1,0.1,78.9,3.2,0.8
1.0,-3.0,76.1,0.4,0.8
1.0,-8.4,83.2,-3.5,0.9
0.2,-9.2,87.3,-3.2,0.7
0.6,3.9,82.5,-0.9,0.7
0.5,0.5,77.4,-3.8,0.5
1.4,-0.1,84.0,-2.5,0.8
1.0,-1.8,93.0,-1.0,0.5
1.4,-0.5,92.2,-5.6,0.6
0.6,-3.3,90.7,-3.2,0.9
1.1,-3.8,93.1,-6.1,0.6
0.4,-0.9,94.3,-3.0,0.7
0.3,1.6,91.7,3.7,0.8
0.9,2.2,93.2,0.0,0.5
0.7,1.0,89.8,-1.8,0.5
0.7,1.1,90.5,-0.6,0.9
1.7,-3.3,91.5,-0.6,0.9
0.9,-3.9,94.9,-4.2,0.6
1.0,-1.2,97.5,1.3,0.9
0.6,-1.8,99.0,-1.9,0.6
1.7,-4.3,103.0,-4.5,0.2
1.3,-2.0,105.8,-2.7,0.5
0.9,-1.7,105.0,-4.1,0.5
1.0,1.0,107.8,-0.7,0.2
0.9,-3.1,106.9,-5.0,0.3
1.3,3.1,103.5,3.0,0.5
1.6,-2.1,100.2,-2.2,0.5
0.9,2.8,105.9,-3.0,0.4
0.8,-1.8,106.2,-0.8,0.7
1.3,-1.6,105.9,-0.8,0.7
1.7,-3.8,105.3,-3.9,0.7
0.4,0.8,110.1,-0.8,1.0
1.8,-4.8,108.8,-2.5,0.8
0.1,4.7,107.5,1.7,0.9
0.6,5.3,103.9,-2.5,0.7
-0.3,12.5,92.3,8.5,1.0
0.6,13.4,91.0,3.9,0.7
-0.4,11.2,88.6,9.8,0.3
0.3,14.1,85.1,13.8,-0.1
0.9,-0.4,93.1,3.6,0.3
0.6,2.8,94.1,2.3,0.8
0.4,-4.1,87.3,-1.7,0.5
0.2,-0.6,83.8,2.3,0.6
0.6,-1.0,80.0,0.0,1.0
0.9,6.2,89.3,4.5,-0.2
1.7,-2.4,89.3,0.0,0.7
1.1,-6.1,92.0,-4.9,0.4
0.5,-8.0,98.0,-2.3,0.8
0.8,-4.2,93.3,-1.8,0.8
0.9,-2.8,95.6,-3.0,0.6
1.0,-5.0,93.9,0.0,1.1
1.1,-2.0,94.1,-2.5,0.5
0.5,-3.5,90.2,-3.8,0.7
0.9,1.2,87.5,-2.6,1.5
0.6,3.3,82.4,0.0,0.9
1.3,-7.7,88.9,-4.7,0.5
0.2,-4.3,83.8,-2.1,0.9
0.2,2.3,84.0,0.0,0.9
0.9,0.6,92.5,-4.3,-0.4
0.2,2.7,92.2,1.5,1.0
0.6,-2.4,86.9,0.0,1.1
0.5,2.7,85.7,3.7,0.6
0.6,3.7,77.5,2.9,1.2
-0.6,8.4,72.9,4.2,1.1
0.5,5.4,59.6,6.7,1.3
-0.5,11.6,64.8,12.5,1.5
-2.2,22.5,57.7,14.4,-2.3
-1.1,28.2,58.3,20.4,-0.7
-0.1,21.8,68.2,12.5,0.5
0.4,-5.7,68.4,3.6,0.9
1.1,-9.5,70.2,3.1,0.8
0.4,-12.5,73.9,-1.0,0.2
0.9,-2.7,73.9,-2.0,0.0
0.7,-3.7,68.3,-1.7,0.3
0.5,-5.8,71.3,0.4,0.8
-0.2,-9.0,73.1,-4.9,1.1
0.7,-2.3,71.9,0.4,1.1
0.0,-1.0,59.7,-0.7,0.7
1.2,-2.3,64.8,-4.1,0.4
0.8,-7.0,75.5,-4.2,0.6
0.4,-1.8,76.3,-0.8,0.2
0.1,-0.5,75.0,-2.0,0.5
0.1,-1.5,79.4,-2.9,0.7
0.9,-5.7,76.7,-0.9,0.4
0.1,-1.9,81.7,-2.6,-0.1
0.8,-2.2,81.6,-4.0,0.5
0.8,-2.4,76.9,-4.1,0.4
-0.3,-1.6,80.9,-3.8,0.6
1.4,-6.0,82.8,-7.0,0.5
1.2,-6.2,83.0,-2.2,0.3
0.6,-3.7,89.8,-6.0,-0.2
0.9,-2.7,95.5,-2.9,-0.6
0.7,-2.9,94.2,-1.8,0.7
0.4,-1.0,90.7,-6.1,0.4
0.2,-1.8,91.3,-1.3,0.0
0.6,-0.9,91.6,-2.0,0.0
0.3,-1.1,92.4,-0.7,0.7
0.5,-1.3,90.3,0.0,0.5
0.6,-3.5,93.1,-2.7,0.6
0.6,-2.1,97.2,-4.2,0.7
0.4,-2.8,96.4,-4.4,0.1
0.7,-0.3,95.1,-1.5,0.5
1.0,-2.1,98.4,-3.9,0.8
0.9,-2.6,98.9,-1.6,0.8
0.7,-5.4,98.3,-3.3,0.5
0.5,-2.6,98.1,-4.2,0.5
0.3,-2.2,98.1,0.9,0.3
0.7,2.6,94.5,1.8,0.2
0.4,-2.2,98.5,-6.0,0.7
0.6,0.2,93.8,0.0,0.5
0.6,1.0,97.2,-2.8,0.6
-1.3,32.8,96.6,8.5,0.3
