Unemp_claims,Man_New_Order,GDP,CPI,Labor_Force,Consumer_Sentiment,Monthly_House_Supply,Mortgage_Debt
2948923,222999,16848.748,233.3,155630,81.6,5.5,4.894619
2877231,230947,17083.137,234.163,155040,76.9,5,4.864192
2830615,228307,17104.555,235.621,155621,80.9,5.3,4.764207
2659692,234942,17432.909,236.872,155587,82.8,5.5,4.684227
2496077,254903,17721.657,237.478,156059,83,5.7,4.613802
2404385,227138,17849.912,236.888,156414,89.8,5.4,4.557633
2339692,224572,18003.399,235.355,156772,95.5,4.8,4.551129
2271000,224664,18223.577,236.96,157258,94.2,5.1,4.48569
2247769,225371,18347.425,237.855,156967,90.7,5.4,4.458876
2206692,223574,18378.803,237.837,157555,91.3,5.4,4.482421
2187692,218303,18470.156,237.777,158699,91.6,5.6,4.462628
2162692,217188,18656.207,239.473,158914,92.4,5.2,4.463125
2134769,217009,18821.359,240.591,159506,90.3,4.9,4.448917
2060786,222317,19032.58,242.115,159665,93.1,5.2,4.382395
2016917,222202,19237.435,243.822,159827,97.2,5.2,4.333779
1961308,230807,19379.232,244.054,160200,96.4,5.4,4.316035
1955286,229081,19617.288,245.359,160747,95.1,5.7,4.300854
1913385,236322,19937.963,247.25,160475,98.4,5.3,4.255106
1863538,240127,20242.215,249.235,161512,98.9,5.5,4.192425
1762308,246200,20552.653,250.591,161962,98.3,5.8,4.18761
1716923,250200,20742.723,251.883,162006,98.1,6.3,4.162643
1679308,246818,20909.853,252.697,162793,98.1,7,4.188943
1723385,248254,21115.309,253.275,163041,94.5,6.1,4.164448
1685231,237957,21329.877,255.171,162820,98.5,6.1,4.145817
1688462,242858,21540.325,256.325,163773,93.8,5.6,4.140605
1706154,239549,21747.394,257.832,164435,97.2,5.5,4.123058
2266231,230877,21561.139,258.608,164022,96.6,5.7,4.102086
