GDPC1,CCSA,NEWORDER,UMCSENT,PAYEMS,CPIAUCSL,MSACSR
2.3,3624615,,91.5,0.8,1.2,5.1
2.0,3107615,,91.2,1.0,1.0,6.1
2.1,2801857,,91.5,1.4,1.0,5.4
2.0,2476692,,99.5,1.3,1.4,5.5
1.7,2387000,,96.6,1.1,0.9,6.4
1.0,2394538,,98.9,1.0,0.9,6.9
0.8,2551385,,95.0,0.9,0.9,6.8
1.0,2578846,,94.5,0.7,0.9,6.5
0.9,2562846,,94.3,0.7,0.9,6.4
1.5,2561923,,92.8,0.6,0.6,5.9
0.7,2632923,,91.1,0.6,1.0,6.0
0.9,2589077,,95.5,0.4,0.5,5.5
0.5,2640769,,96.8,0.3,-0.5,5.2
1.0,2656769,,94.8,0.5,0.6,6.3
0.5,2639538,,92.0,0.6,0.7,6.0
0.7,2474385,,90.5,0.6,1.2,6.1
1.1,2336923,,91.8,0.8,1.1,6.5
0.9,2202385,,93.9,0.7,1.1,6.8
1.7,2078846,,86.4,0.9,0.9,7.1
0.5,2150308,,92.3,0.7,0.8,6.9
1.3,2065308,,93.6,0.8,1.1,6.4
0.6,2075462,,96.0,0.7,1.2,6.6
1.3,2015500,,93.0,0.8,1.1,6.7
1.0,2102083,,95.9,0.8,1.1,7.3
0.8,2104538,,90.9,0.5,1.6,7.2
0.7,2197857,,92.5,0.3,0.8,6.5
0.2,2283769,,91.8,0.5,1.0,6.8
1.1,2358000,,91.3,0.7,1.7,7.5
0.4,2400000,,90.9,0.3,1.0,8.1
0.1,2530846,,79.1,-0.1,1.7,8.1
-0.9,2867462,,65.1,-0.4,1.7,8.5
-0.5,3269077,,75.0,-0.4,0.7,8.2
0.8,3462615,,80.7,-0.4,0.6,7.1
0.5,3298000,,82.6,0.0,0.8,7.1
0.3,3322615,,71.9,0.0,0.8,6.4
1.2,3325692,,70.8,0.0,0.7,5.4
1.1,3327538,5.6,78.9,0.3,0.8,5.9
1.0,3226077,0.8,76.1,0.2,0.8,5.2
1.0,2954077,2.0,83.2,0.4,0.9,5.2
0.2,2683000,-1.5,87.3,0.6,0.7,5.4
